timestamp,yaw,pitch,distance,distance_noise,x_noise,y_noise,z_noise,object_id,color,color.1,color.2,id,x,y,z
0.082,5.154,-0.27,13.697,13.687,11.923,5.64,-3.656,22081.0,204.0,204.0,204.0,0.0,11.932,5.644,1.3410000000000002
0.082,5.154,-0.262,13.65,13.659,11.925,5.641,-3.538,22081.0,204.0,204.0,204.0,0.0,11.918,5.637,1.464
0.082,5.154,-0.252,13.635,13.605,11.908,5.633,-3.399,22081.0,72.0,204.0,204.0,0.0,11.935,5.646,1.5939999999999999
0.082,5.154,-0.241,13.564,13.68,12.008,5.68,-3.269,22081.0,204.0,1.0,0.0,0.0,11.906,5.632,1.758
0.082,5.154,-0.18,13.385,13.403,11.919,5.638,-2.404,22081.0,204.0,204.0,204.0,0.0,11.903,5.63,2.599
0.082,5.154,-0.172,13.364,13.341,11.883,5.621,-2.279,22081.0,204.0,204.0,204.0,0.0,11.903,5.63,2.717
0.082,5.154,-0.231,13.538,13.52,11.897,5.628,-3.094,22081.0,72.0,204.0,204.0,0.0,11.913,5.635,1.9020000000000001
0.082,5.154,-0.225,13.514,13.475,11.874,5.617,-3.007,22081.0,72.0,204.0,204.0,0.0,11.908,5.633,1.984
0.082,5.154,-0.164,13.348,13.162,11.739,5.553,-2.145,22081.0,204.0,204.0,204.0,0.0,11.905,5.631,2.825
0.082,5.154,-0.155,13.334,13.338,11.912,5.635,-2.061,22081.0,204.0,204.0,204.0,0.0,11.909,5.633,2.94
0.082,5.154,-0.216,13.482,13.496,11.917,5.637,-2.892,22081.0,72.0,204.0,204.0,0.0,11.904,5.631,2.111
0.082,5.154,-0.209,13.46,13.553,11.985,5.669,-2.811,22081.0,72.0,204.0,204.0,0.0,11.903,5.63,2.209
0.082,5.157,-0.124,13.313,13.343,11.952,5.698,-1.653,22081.0,204.0,204.0,204.0,0.0,11.925,5.685,3.351
0.082,5.157,-0.119,13.322,13.352,11.967,5.705,-1.587,22081.0,204.0,204.0,204.0,0.0,11.941,5.692,3.417
0.082,5.157,-0.113,13.341,13.242,11.876,5.662,-1.497,22081.0,204.0,204.0,204.0,0.0,11.966,5.704,3.492
0.082,5.157,-0.106,13.401,13.447,12.069,5.754,-1.428,22081.0,204.0,204.0,204.0,0.0,12.028,5.734,3.577
0.082,5.157,-0.149,13.314,13.339,11.907,5.676,-1.978,22081.0,6.0,6.0,6.0,0.0,11.885,5.666,3.026
0.082,5.157,-0.142,13.309,13.345,11.924,5.685,-1.894,22081.0,6.0,6.0,6.0,0.0,11.892,5.669,3.1109999999999998
0.082,5.157,-0.102,13.697,13.779,12.373,5.899,-1.403,22081.0,204.0,204.0,204.0,0.0,12.3,5.864,3.606
0.082,5.157,-0.137,13.307,13.341,11.929,5.687,-1.822,22081.0,6.0,6.0,6.0,0.0,11.899,5.673,3.182
0.082,5.157,-0.131,13.307,13.269,11.875,5.661,-1.739,22081.0,204.0,204.0,204.0,0.0,11.908,5.677,3.2560000000000002
0.082,5.157,-0.198,13.419,13.349,11.814,5.632,-2.627,22081.0,204.0,204.0,204.0,0.0,11.876,5.662,2.359
0.082,5.157,-0.188,13.391,13.39,11.873,5.66,-2.504,22081.0,204.0,204.0,204.0,0.0,11.875,5.661,2.496
0.082,5.157,-0.28,13.815,13.732,11.914,5.68,-3.788,22081.0,204.0,204.0,204.0,0.0,11.986,5.714,1.189
0.082,5.157,-0.27,13.682,13.737,11.949,5.696,-3.67,22081.0,204.0,204.0,204.0,0.0,11.902,5.674,1.3450000000000002
0.082,5.157,-0.262,13.636,13.618,11.873,5.66,-3.528,22081.0,204.0,204.0,204.0,0.0,11.889,5.668,1.467
0.082,5.157,-0.252,13.622,13.626,11.91,5.678,-3.404,22081.0,72.0,204.0,204.0,0.0,11.906,5.676,1.597
0.082,5.157,-0.241,13.563,13.655,11.969,5.706,-3.264,22081.0,204.0,204.0,204.0,0.0,11.888,5.667,1.758
0.082,5.157,-0.18,13.371,13.365,11.868,5.658,-2.398,22081.0,204.0,204.0,204.0,0.0,11.874,5.661,2.601
0.082,5.157,-0.172,13.351,13.318,11.845,5.647,-2.275,22081.0,204.0,204.0,204.0,0.0,11.874,5.661,2.72
0.082,5.157,-0.231,13.524,13.513,11.874,5.661,-3.093,22081.0,72.0,204.0,204.0,0.0,11.884,5.665,1.9049999999999998
0.082,5.157,-0.225,13.5,13.521,11.897,5.672,-3.018,22081.0,72.0,204.0,204.0,0.0,11.879,5.663,1.987
0.082,5.157,-0.164,13.334,13.197,11.753,5.603,-2.151,22081.0,204.0,204.0,204.0,0.0,11.876,5.661,2.827
0.082,5.157,-0.155,13.321,13.219,11.789,5.62,-2.043,22081.0,6.0,6.0,6.0,0.0,11.88,5.663,2.942
0.082,5.157,-0.216,13.468,13.443,11.853,5.651,-2.88,22081.0,72.0,204.0,204.0,0.0,11.875,5.661,2.114
0.082,5.157,-0.209,13.446,13.512,11.932,5.688,-2.802,22081.0,72.0,204.0,204.0,0.0,11.874,5.66,2.211
0.082,5.16,-0.124,13.3,13.299,11.895,5.715,-1.647,22081.0,6.0,6.0,6.0,0.0,11.896,5.715,3.3529999999999998
0.082,5.16,-0.119,13.31,13.292,11.896,5.715,-1.58,22081.0,6.0,6.0,6.0,0.0,11.912,5.723,3.418
0.082,5.16,-0.113,13.33,13.244,11.861,5.698,-1.497,22081.0,204.0,204.0,204.0,0.0,11.938,5.735,3.4930000000000003
0.082,5.16,-0.106,13.383,13.462,12.066,5.797,-1.43,22081.0,204.0,204.0,204.0,0.0,11.995,5.763,3.5780000000000003
0.082,5.16,-0.149,13.301,13.328,11.88,5.708,-1.976,22081.0,6.0,6.0,6.0,0.0,11.857,5.696,3.027
0.082,5.16,-0.142,13.296,13.297,11.864,5.7,-1.888,22081.0,6.0,6.0,6.0,0.0,11.863,5.699,3.113
0.082,5.16,-0.102,13.6,13.599,12.194,5.858,-1.384,22081.0,204.0,204.0,204.0,0.0,12.195,5.859,3.616
0.082,5.16,-0.095,14.678,14.66,13.154,6.32,-1.398,22081.0,204.0,204.0,204.0,0.0,13.17,6.327,3.6
0.082,5.16,-0.137,13.294,13.274,11.853,5.694,-1.813,22081.0,6.0,6.0,6.0,0.0,11.87,5.703,3.184
0.082,5.16,-0.131,13.294,13.259,11.848,5.692,-1.737,22081.0,6.0,6.0,6.0,0.0,11.88,5.707,3.258
0.082,5.16,-0.198,13.411,13.269,11.726,5.634,-2.612,22081.0,204.0,204.0,204.0,0.0,11.852,5.694,2.36
0.082,5.16,-0.188,13.383,13.455,11.914,5.724,-2.516,22081.0,204.0,204.0,204.0,0.0,11.85,5.693,2.498
0.082,5.16,-0.28,13.794,13.657,11.832,5.685,-3.768,22081.0,204.0,204.0,204.0,0.0,11.951,5.741,1.1949999999999998
0.082,5.16,-0.27,13.667,13.72,11.918,5.726,-3.665,22081.0,204.0,204.0,204.0,0.0,11.872,5.703,1.3490000000000002
0.082,5.16,-0.262,13.623,13.654,11.888,5.711,-3.537,22081.0,204.0,204.0,204.0,0.0,11.86,5.698,1.471
0.082,5.16,-0.252,13.608,13.586,11.858,5.697,-3.394,22081.0,72.0,204.0,204.0,0.0,11.877,5.706,1.6
0.082,5.16,-0.241,13.56,13.656,11.952,5.742,-3.264,22081.0,72.0,204.0,204.0,0.0,11.868,5.702,1.759
0.082,5.16,-0.18,13.363,13.368,11.854,5.695,-2.398,22081.0,204.0,204.0,204.0,0.0,11.849,5.693,2.603
